JLSJC,SJLX,CLBS,FSRQ,CJXH,CJBH,YWFL,WTXH,SBXH,ZQDM,JYSC,GDDM,SBXW,WTFX,PCLX,CJSJ,CJSL,CJJG,CJJE,TOTALFEE,WTSL,PRICE,FUND,ASSET,COMBI,ZLXH,XGCX,ORIG,SFBZ,TZGW,AUTO,COMP,ALGO,WTZT,TSBZ,TZLX,PCFX,OPERATOR,SFCD,FQFS,DRSL,DRJE,WTPH,JYSL,BDKC,WBXT,XTLY,SBFX,ZCJSL,ZCJJE,HGXH,JGLX,ZRZH,MBLX,SCCJSJ,ETFSSFS,HBDM,CPBH,DYBH,ZHBH
2022-02-10 09:32:06,fund.jy.realdeal,0,20220210,50000264,0103000003073474,1,10000294,10000250,000630,2,0899235931,033500,1,,93206,200000.0,4.08,816000.0,408.0,200000.0,4.08,573,1122,1122,0,0,7,,400127,0,0,,7,0,1,0,400002,0,Y,200000.0,816000.0,10000295,0,,27,1,0B,0.0,0.0,0,0,0,,93206,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000265,0103000003384701,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,1768.0,4.09,7231.12,5.0,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,1768.0,7231.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000266,0103000003384804,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,500.0,4.09,2045.0,0.0,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,2268.0,9276.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000267,0103000003384864,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,1000.0,4.09,4090.0,1.68,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,3268.0,13366.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000268,0103000003385816,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,100.0,4.09,409.0,0.21,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,3368.0,13775.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000269,0103000003386010,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,4900.0,4.09,20041.0,10.02,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,8268.0,33816.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000270,0103000003386228,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,2100.0,4.09,8589.0,4.29,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,10368.0,42405.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000271,0103000003386420,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,15800.0,4.09,64622.0,32.31,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,26168.0,107027.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000272,0103000003386428,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,200.0,4.09,818.0,0.41,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,26368.0,107845.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000273,0103000003387517,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,400.0,4.09,1636.0,0.82,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,26768.0,109481.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000274,0103000003387918,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,400.0,4.09,1636.0,0.82,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,27168.0,111117.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000275,0103000003388048,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,100.0,4.09,409.0,0.2,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,27268.0,111526.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000276,0103000003388136,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,2400.0,4.09,9816.0,4.91,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,29668.0,121342.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
2022-02-10 09:32:31,fund.jy.realdeal,0,20220210,50000277,0103000003388346,1,10000297,10000251,000630,2,0899235931,033500,2,,93230,2000.0,4.09,8180.0,4.09,200000.0,4.09,573,1122,1122,0,0,7,,400127,0,0,,6,0,1,0,400002,0,Y,31668.0,129522.12,10000298,0,,39,1,0S,0.0,0.0,0,0,0,,93230,,,0040A012,2,2
